List of Organism, HGNC gene, uniprot id and protein names with a known structure and included in the database
Homo sapiens	RAF1	RAF1_HUMAN	RAF proto-oncogene serine/threonine-protein kinase
Homo sapiens	RET	RET_HUMAN	Proto-oncogene tyrosine-protein kinase receptor Ret
Homo sapiens	RIPK1	RIPK1_HUMAN	Receptor-interacting serine/threonine-protein kinase 1
Homo sapiens	RIPK2	RIPK2_HUMAN	Receptor-interacting serine/threonine-protein kinase 2
Homo sapiens	RIPK3	RIPK3_HUMAN	Receptor-interacting serine/threonine-protein kinase 3
Homo sapiens	RNASEL	RN5A_HUMAN	2-5A-dependent ribonuclease
Homo sapiens	ROCK1	ROCK1_HUMAN	Rho-associated protein kinase 1
Homo sapiens	ROCK2	ROCK2_HUMAN	Rho-associated protein kinase 2
Homo sapiens	ROR1	ROR1_HUMAN	Inactive tyrosine-protein kinase transmembrane receptor ROR1
Homo sapiens	ROR2	ROR2_HUMAN	Tyrosine-protein kinase transmembrane receptor ROR2
Homo sapiens	ROS1	ROS1_HUMAN	Proto-oncogene tyrosine-protein kinase ROS
Homo sapiens	RPS6KA1	KS6A1_HUMAN	Ribosomal protein S6 kinase alpha-1
Homo sapiens	RPS6KA3	KS6A3_HUMAN	Ribosomal protein S6 kinase alpha-3
Homo sapiens	RPS6KA5	KS6A5_HUMAN	Ribosomal protein S6 kinase alpha-5
Homo sapiens	RPS6KA6	KS6A6_HUMAN	Ribosomal protein S6 kinase alpha-6
Homo sapiens	RPS6KB1	KS6B1_HUMAN	Ribosomal protein S6 kinase beta-1
Homo sapiens	RYK	RYK_HUMAN	Tyrosine-protein kinase RYK
Homo sapiens	SGK1	SGK1_HUMAN	Serine/threonine-protein kinase Sgk1
Homo sapiens	SLK	SLK_HUMAN	STE20-like serine/threonine-protein kinase
Homo sapiens	SNRK	SNRK_HUMAN	SNF-related serine/threonine-protein kinase
Homo sapiens	SRC	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src
Homo sapiens	SRPK1	SRPK1_HUMAN	SRSF protein kinase 1
Homo sapiens	SRPK2	SRPK2_HUMAN	SRSF protein kinase 2
Homo sapiens	STK10	STK10_HUMAN	Serine/threonine-protein kinase 10
Homo sapiens	STK11	STK11_HUMAN	Serine/threonine-protein kinase STK11
Homo sapiens	STK16	STK16_HUMAN	Serine/threonine-protein kinase 16
Homo sapiens	STK17B	ST17B_HUMAN	Serine/threonine-protein kinase 17B
Homo sapiens	STK24	STK24_HUMAN	Serine/threonine-protein kinase 24
Homo sapiens	STK25	STK25_HUMAN	Serine/threonine-protein kinase 25
Homo sapiens	STK26	STK26_HUMAN	Serine/threonine-protein kinase 26
Homo sapiens	STK3	STK3_HUMAN	Serine/threonine-protein kinase 3
Homo sapiens	STK32A	ST32A_HUMAN	Serine/threonine-protein kinase 32A
Homo sapiens	STK38	STK38_HUMAN	Serine/threonine-protein kinase 38
Homo sapiens	STK4	STK4_HUMAN	Serine/threonine-protein kinase 4
Homo sapiens	STK40	STK40_HUMAN	Serine/threonine-protein kinase 40
Homo sapiens	STRADA	STRAA_HUMAN	STE20-related kinase adapter protein alpha
Homo sapiens	SYK	KSYK_HUMAN	Tyrosine-protein kinase SYK
Homo sapiens	TAOK3	TAOK3_HUMAN	Serine/threonine-protein kinase TAO3
Homo sapiens	TBK1	TBK1_HUMAN	Serine/threonine-protein kinase TBK1
Homo sapiens	TEK	TIE2_HUMAN	Angiopoietin-1 receptor
Homo sapiens	TGFBR1	TGFR1_HUMAN	TGF-beta receptor type-1
Homo sapiens	TGFBR2	TGFR2_HUMAN	TGF-beta receptor type-2
Homo sapiens	TLK2	TLK2_HUMAN	Serine/threonine-protein kinase tousled-like 2
Homo sapiens	TNIK	TNIK_HUMAN	TRAF2 and NCK-interacting protein kinase
Homo sapiens	TNK2	ACK1_HUMAN	Activated CDC42 kinase 1
Homo sapiens	TNNI3K	TNI3K_HUMAN	Serine/threonine-protein kinase TNNI3K
Homo sapiens	TP53RK	PRPK_HUMAN	EKC/KEOPS complex subunit TP53RK
Homo sapiens	TRIB1	TRIB1_HUMAN	Tribbles homolog 1
Homo sapiens	TTBK1	TTBK1_HUMAN	Tau-tubulin kinase 1
Homo sapiens	TTBK2	TTBK2_HUMAN	Tau-tubulin kinase 2
Homo sapiens	TTK	TTK_HUMAN	Dual specificity protein kinase TTK
Homo sapiens	TTN	TITIN_HUMAN	Titin
Homo sapiens	TYK2	TYK2_HUMAN	Non-receptor tyrosine-protein kinase TYK2
Homo sapiens	ULK1	ULK1_HUMAN	Serine/threonine-protein kinase ULK1
Homo sapiens	ULK2	ULK2_HUMAN	Serine/threonine-protein kinase ULK2
Homo sapiens	ULK3	ULK3_HUMAN	Serine/threonine-protein kinase ULK3
Homo sapiens	ULK4	ULK4_HUMAN	Serine/threonine-protein kinase ULK4
Homo sapiens	VRK1	VRK1_HUMAN	Serine/threonine-protein kinase VRK1
Homo sapiens	VRK2	VRK2_HUMAN	Serine/threonine-protein kinase VRK2
Homo sapiens	VRK3	VRK3_HUMAN	Inactive serine/threonine-protein kinase VRK3
Homo sapiens	WEE1	WEE1_HUMAN	Wee1-like protein kinase
Homo sapiens	WEE2	WEE2_HUMAN	Wee1-like protein kinase 2
Homo sapiens	WNK1	WNK1_HUMAN	Serine/threonine-protein kinase WNK1
Homo sapiens	WNK3	WNK3_HUMAN	Serine/threonine-protein kinase WNK3
